Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
Acend (B),Zeek,Logitech G Pro X Superlight,"1,000",800,0.45,360,1,BenQ XL2540,240,RTX 2060,1280x960,Artisan Zero,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Acend,cNed,Zowie ZA12,"1,000",800,0.32,256,1,BenQ XL2546K,240,RTX 3080,1920x1080,SteelSeries QcK Heavy,Xtrfy K4-RGB TKL,HyperX Cloud II
Acend,MONSTEERR,Logitech G Pro Wireless,"1,000",800,0.4,320,1,AOC G2460PF,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X Headset
Cloud9 Blue (C),Autumn,Logitech G Pro X Superlight Black,"1,000",800,0.32,256,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
Cloud9 Blue,Xeppaa,Zowie EC2-C,"1,000",800,0.35,280,1,BenQ XL2546K,240,RTX 3080,1280x960,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
Cloud9 Blue,mitch,Zowie EC2-B Divina Edition,"1,000",800,0.28,224,1,BenQ XL2540,240,RTX 2080 Super,1920x1080,HyperX FURY S Pro,Ducky One 2 Mini RGB,HyperX Cloud Alpha
Cloud9 Blue,curry,Logitech G Pro X Superlight,"1,000",800,0.375,300,1,BenQ XL2540,240,RTX 2080 Super,1280x960,Artisan FX Zero XSoft,Ducky One 2 TKL RGB,Logitech G Pro X Wireless Headset
Cloud9 Blue,vanity,Logitech G Pro X Superlight Black,"1,000","1,600",0.141,225,1.1,BenQ XL2546,240,RTX 2070,1920x1080,Logitech G640,HyperX Alloy FPS,HyperX Cloud II
Cloud9 Blue,leaf,Logitech G Pro X Superlight White,"1,000",800,0.23,183,1,BenQ XL2546,240,RTX 3080,1280x960,Logitech G640,HyperX Alloy Origins Core,Sennheiser GAME ZERO
100T (M),Nadeshot,Logitech G Pro X Superlight Black,"1,000",800,0.2,160,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK+,HiGround Sandstone,JBL Quantum ONE
100T (C),seangares,HyperX Pulsefire Haste,"1,000",800,0.315,252,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha
100T,derrek,Logitech G Pro X Superlight,"1,000",800,0.375,300,1,Acer XF250Q,240,GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,SteelSeries Apex 7 Ghost Edition,HyperX Cloud II
100T,Will,Logitech G Pro X Superlight,"1,000",800,0.4,320,1,BenQ XL2546K,240,RTX 3080,1920x1080,Artisan Zero,Ducky One 2 TKL White,EPOS H6PRO White
100T,Asuna,Razer DeathAdder V2,"1,000","1,400",0.272,380,0.9,BenQ XL2546K,240,RTX 3090,1920x1080,Artisan FX Zero Soft,Corsair K-70 RGB,HyperX Cloud II
100T,stellar,Logitech G Pro Wireless,"1,000",800,0.32,256,1,BenQ XL2546,240,RTX 3070,1600x900,Zowie G-SR,Ducky One 3 TKL Matcha,HyperX Cloud II
100T (L),bang,Logitech G Pro X Superlight,"1,000",800,0.32,256,1,ASUS VG248QE,144,,1920x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro X
On Sla2ers,TS,Logitech G703,"1,000",400,0.583,233,1,ASUS ROG XG258Q,240,,1920x1080,PULSAR ParaBreak XL,Logitech G913 TKL,Logitech G Pro X Headset
On Sla2ers,GodDead,Logitech G Pro X Superlight,"1,000",400,0.691,276,1,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,SteelSeries QcK+,Varmilo VA87M Sakura Pink,HyperX Cloud Revolver S
On Sla2ers,Bazzi,Zowie EC2-B,"1,000","1,600",0.17,272,0.75,Alienware AW2518H,240,RTX 2080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,
On Sla2ers (C),Peri,Glorious Model D,"1,000",400,0.525,210,0.8,BenQ XL2540,240,RTX 2080 Super,1920x1080,Razer Goliathus Control,Deck Francium Lite,
M3C,Redgar,Logitech G Pro X Superlight,"1,000",800,0.7,560,1,BenQ XL2546K,240,RTX 3080,1920x1080,Zowie G-SR-SE Deep Blue,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
M3C,Chronicle,Logitech G Pro X Superlight,"1,000",400,1.25,500,0.777,ASUS TUF VG279QM,240,,1920x1080,Zowie G-SR-SE,Anne Pro 2,Logitech G Pro X Wireless Headset
M3C,Sheydos,Logitech G Pro X Superlight White,"1,000",400,0.81,324,1.1,BenQ XL2546K,240,RTX 2080 Super,1280*960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
Sentinels,TenZ,FinalMouse Starlight Pro(Small & Medium),"1,000","1,600",0.22,352,1,BenQ XL2546,360,RTX 3090,1920x1080,XTEN Control,Xtrfy K4 TKL,Xtrfy H2
Sentinels,ShahZaM,Logitech G703,"1,000",400,0.53,212,1,BenQ XL2546,240,RTX 3090,1920x1080,Artisan Zero,KBD8X MKII Custom,HyperX Cloud II
Sentinels (B),SicK,Logitech G900,"1,000",800,0.235,188,1,BenQ XL2546,240,RTX 3080,1920x1080,Logitech G640,HyperX Alloy FPS Pro,HyperX Cloud II
Sentinels (B),zombs,Logitech G Pro X Superlight,"1,000",400,0.54,216,1,BenQ XL2540,240,RTX 3080,1280x960,Logitech G640,Ducky One 2 Mini RGB,Sennheiser G4ME ONE
Sentinels,dapr,Logitech G Pro X Superlight Black,"1,000",400,0.66,264,1,BenQ XL2546,240,RTX 3080,1920x1080,Zowie G-SR-SE,Corsair K70 TKL,HyperX Cloud II
Sentinels (B),Kanpeki,Razer Viper V2 Pro,"1,000",800,0.32,256,1,BenQ XL2546 Divina Pink Edition,240,GTX 1080 Ti,1920x1080,Artisan FX Zero Soft,Custom Keyboard,HyperX Cloud II
Sentinels (S),Tarik,Zowie EC2 Tyloo Edition,500,800,0.471,376,1,BenQ XL2546,144,RTX 3080 Ti,1680x1050,Artisan Zero,Logitech G Pro Mechanical Keyboard,Beyerdynamic DT 990 Pro
Gen.G (B),jcStani,Zowie ZA11,"1,000",800,0.4,320,1,,240,,1440x1080,Logitech G640,Leopold FC750R,Audio Technica M50x + modmic
TSM,Seven,Logitech G Pro X Superlight,"1,000","1,600",0.25,400,1,BenQ XL2546K,240,,1920x1080,Artisan Hien FX Soft,,
TSM,Subroza,Logitech G Pro X Superlight,"1,000",800,0.277,221,1,BenQ XL2540,240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
TSM,gMd,Logitech G Pro X Superlight Black,"1,000",400,0.8,320,1,,0,,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,HyperX Cloud Flight
TSM,Rossy,Logitech G Pro X Superlight,"1,000","1,600",0.225,360,1,ASUS TUF VG279QM,240,RTX 3070,1280x1024,Logitech G640,Logitech G915 TKL,Logitech G Pro X Wireless Headset
TSM,Corey,Logitech G Pro X Superlight,"1,000",800,0.321,256,1,"OMEN by HP 24.5""",240,RTX 2080 Ti,1920x1080,Logitech G640,Corsair K-70 RGB,Logitech G Pro X
Version 1,Zander,FinalMouse Starlight Pro,"1,000",800,0.275,220,0.95,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR-SE Rouge,Xtrfy K4 TKL,HyperX Cloud II Wireless
Version 1,effys,Logitech G Pro X Superlight,"1,000",400,0.45,180,1,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Logitech G640,Razer Huntsman Mini,HyperX Cloud II Wireless
Version 1,zellsis,Logitech G Pro X Superlight,"1,000",800,0.215,172,0.82,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR-SE Rouge,Gamesense Clutch,Sennheiser GAME ZERO
Version 1,wippie,Logitech G Pro X Superlight Magenta,"1,000",800,1.572,"1,257",0.948,BenQ XL2546K,240,RTX 2070 Super,1024x768,Artisan FX Zero XSoft,HyperX Alloy Origins,Logitech G Pro X Wireless Headset
Version 1,penny,Logitech G Pro X Superlight White,"1,000",800,0.408,326,NA,,NA,,,HyperX FURY,HyperX Alloy Elite,HyperX Cloud Earbuds
Heretics,lowel,Razer DeathAdder V3 Pro,"1,000",400,0.566,226,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR DG,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
Heretics,keloqz,Logitech G Pro X Superlight,"1,000",400,0.44,176,1,BenQ XL2546K,240,GTX 1060,1920x1080,Logitech G640,,Logitech G Pro X Wireless Headset
T1,Thwifo,Logitech G Pro Wireless,"1,000",800,0.3,240,0.9,Alienware AW2521HF,240,RTX 2070,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser G4ME ONE
T1,Munchkin,Logitech G Pro X Superlight Black,"1,000",800,0.2,160,1,,NA,,1440x1080,VAXEE PA Winter 21,Leopold FC750R,
T1,steel,Razer DeathAdder V3 Pro,"1,000",800,0.45,360,1,BenQ XL2546,240,RTX 3080,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
T1,xeta,Logitech G Pro X Superlight Black,"1,000",400,0.58,232,0.85,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Sennheiser GAME ZERO
BIG,luckerrr,Razer Viper 8KHz,"1,000",400,0.913,365,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
BIG,AslaN,Logitech G Pro X Superlight Black,"1,000",400,0.6,240,1,BenQ XL2546K,240,RTX 2070 Super,1920x1080,Corsair MM250,Corsair K65,Corsair HS80
Giants,russ,VAXEE OUTSET AX Glossy,"1,000",800,0.5,400,1,ASUS VG259QM,240,,1920x1080,SteelSeries QcK Heavy,,Logitech G Pro X Headset
Giants,Kiles,Logitech G Pro X Superlight Black,"1,000",800,0.431,344,1,BenQ XL2540,240,RTX 2080,1280x960,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
Giants,Fitinho,Xtrfy M4 Black,"1,000",400,0.63,252,1,BenQ XL2546,240,,1920x1080,Corsair MM350 Champion Series,Xtrfy K2-RGB,HyperX Cloud II
Giants,ShadoW,FinalMouse Ultralight 2,500,400,0.408,163,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,SteelSeries QcK+,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Ghost,aproto,Razer DeathAdder V3 Pro,"1,000",800,0.31,248,1,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Blackwidow V3 TKL,HyperX Cloud II
MOUZ,RECIDENT,FinalMouse Starlight 12,,,NA,,NA,BenQ XL2546K,240,,,Razer Gigantus,Razer Huntsman TE,Razer BlackShark V2
MOUZ,memset,Logitech G Pro X Superlight,"1,000",400,0.37,148,NA,BenQ XL2546K,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
MOUZ,Luzuh,Logitech G Pro X Superlight,"1,000",400,0.541,216,1,BenQ XL2540,240,,1280x960,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
MOUZ,al0rante,Razer Viper V2 Pro,"1,000",400,0.35,140,1,BenQ XL2546,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,HyperX Cloud II
Shopify Rebellion,moose,Pwnage Ultra Custom,"1,000",400,0.628,251,1,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,CM MasterKeys Pro S,HyperX Cloud II
Knights,Genghsta,Razer Viper Ultimate,"1,000","1,600",0.115,184,1,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud II
SMB,glovee,Xtrfy M42,"1,000",400,0.525,210,1,BenQ XL2546,240,RTX 3060,1024x768,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
SMB,Brave,Logitech G Pro Wireless,"1,000",400,0.85,340,1,BenQ XL2546K,240,,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
SMB,Izzy,Logitech G Pro X Superlight,"1,000",400,0.56,224,0.852,BenQ XL2546,240,,1920x1080,,Corsair K70 LUX,HyperX Cloud II
NYFU (B),vice,Logitech G Pro Wireless,"1,000",800,0.245,196,1,BenQ XL2546,240,GTX 1080 Ti,1280x960,HyperX FURY S Speed Edition,Logitech G915 TKL,HyperX Cloud Revolver S
NYFU,YaBoiDre,Logitech G Pro Wireless,"1,000",800,0.314,251,1,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,HyperX FURY S Speed Edition,Logitech G Pro Mechanical Keyboard,Bose QC20
EG,C0M,Logitech G Pro Wireless,"1,000",800,0.25,200,1,BenQ XL2546,240,GTX 1060,1680x1050,Logitech G640,Logitech G610,HyperX Cloud II
Prodigy,JEROME,Logitech MX518 Legendary,"1,000",800,0.471,376,1,BenQ XL2546,240,,1280x960,SteelSeries QcK+,HyperX Alloy FPS,HyperX Cloud Earbuds
Sector One,iDex,Razer DeathAdder V3 Pro,"1,000",800,0.244,195,1,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Ducky MIYA Pro Sakura,HyperX Cloud Alpha
INTERPOL,deM0,Logitech G Pro Wireless,"1,000",400,0.624,249,0.624,BenQ XL2411,144,GTX 1060,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha PE
INTERPOL,cry0,Zowie EC1,"1,000",400,0.471,188,1,BenQ XL2540,240,RTX 2070 Super,1920x1080,Zowie G-SR,Logitech G513,Sennheiser GSP 500
Alliance,SEIDER,Razer Viper V2 Pro,"1,000","1,600",0.15,240,1,,NA,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
FURIA,qck,Razer Viper Ultimate,"1,000",400,0.74,296,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Esports Tiger Neon,HyperX Alloy Origins 60,HyperX Cloud II
FURIA,nzr,Logitech G Pro X Superlight Black,"1,000",800,0.45,360,1,AOC G2460PF,144,,1920x1080,VAXEE PA Winter 21,HyperX Alloy FPS,HyperX Cloud II
FURIA,Khalil,Logitech G Pro X Superlight,"1,000",800,0.5,400,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Razer Gigantus V2,HyperX Alloy FPS Pro,HyperX Cloud II
FURIA,mazin,Xtrfy M4 Wireless,"1,000",800,0.35,280,1,AOC AGON AG241QG,240,GTX 1060,1920x1080,VAXEE PA Winter 21,HyperX Alloy Origins,HyperX Cloud II
FURIA,dgzin,Logitech G Pro X Superlight Magenta,"1,000",600,0.15,90,1,BenQ XL2546K,240,RTX 2070 Super,1280x1080,Artisan Zero,HyperX Alloy Origins Core,
BBL,AsLanMashadoVV,Xtrfy M42,"1,000",400,0.6,240,0.9,BenQ XL2546,240,RTX 2070,1280x960,SteelSeries QcK Large Cyberpunk Edition,Razer BlackWidow X Chroma ME,HyperX Cloud II
BBL,Turko,Logitech G Pro X Superlight,"1,000",400,0.6,240,1,,NA,,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
BBL,aimdll,Zowie S2 Divina Edition,"1,000",400,0.531,212,1,ASUS VG259QM,240,RTX 2060 Super,1280x960,Zowie G-SR,Razer BlackWidow Elite,HyperX Cloud II
Rebels Gaming,JannyXD,Razer Viper V2 Pro,"1,000",400,0.52,208,1,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2 Pro
Rebels Gaming,GatsH,Razer Viper Ultimate,"1,000",400,0.4,160,1,BenQ XL2546K,240,RTX 3060,1280x768,Razer Gigantus V2,Razer BlackWidow V3 TKL,Razer BlackShark V2
Rebels Gaming,vo0kashu,Razer Viper V2 Pro,"1,000",800,0.211,168,1,BenQ XL2546K,240,RTX 3060,1280x960,Razer Gigantus V2,Razer Huntsman Mini,
ORDER,Texta,Logitech G Pro Wired,"1,000",400,0.7,280,1,Alienware AW2521HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
ORDER,Disk0,Logitech G Pro X Superlight Black,"1,000",400,0.525,210,1,Alienware AW2720HF,240,RTX 3080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
Vitality,BONECOLD,Razer DeathAdder V3 Pro,"1,000",800,0.27,216,1,BenQ XL2540,240,RTX 3060,1280x960,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Sennheiser GAME ZERO
DetonatioN Gaming,Suggest,Logitech G Pro X Superlight Magenta,"1,000",400,0.7,280,1,Alienware AW2518H,240,RTX 2080 Ti,1280x960,Xten Mousepad (Custom),Logitech G913,Logitech G Pro X Headset
Pioneers,thief,Zowie EC2-A,"1,000",800,0.3,240,1,BenQ XL2540,240,GTX 1080,1920x1080,Zowie G-SR,Corsair STRAFE,HyperX Cloud II
REJECT,Reita,VAXEE ZYGEN NP-01S,"1,000",800,0.44,352,0.9,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
REJECT,takej,Zowie EC2-B Divina Edition,"1,000",400,0.434,173,0.82,BenQ XL2546S,240,,1280x960,Logitech G640,Logitech G913,Logitech G Pro X
REJECT,Zepher,Logitech G403,"1,000",400,0.55,220,1,BenQ XL2540,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy Origins Core,HyperX Cloud II
Excel,Patitek,Logitech G Pro X Superlight Black,"1,000",400,0.82,328,1,AOC AG251FZ2E,240,RTX 2080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Excel,chiwawa,Zowie S2 Divina Edition,"1,000",400,0.89,356,1,BenQ XL2546,240,GTX 1660 Super,1920x1080,Zowie G-SR,Zet Blade Pro,HyperX Cloud II
Team RA'AD,phaze,Logitech G Pro X Superlight,"1,000",400,0.7,280,1.1,BenQ XL2546K,240,,1280x960,Zowie G-SR-SE,Razer Huntsman V2 TKL,HyperX Cloud Alpha
MIBR,frz,Logitech G Pro Wireless,"1,000",800,0.3,240,1,Alienware AW2518HF,240,RTX 2070 Super,1920x1080,VAXEE PA ZYGEN,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FAV Gaming,Fisker,Logitech G Pro X Superlight Black,"1,000",400,0.44,176,1,Alienware AW2521H,240,,1920x1080,Zowie G-SR,SteelSeries Apex Pro,JBL Quantum ONE
Stars Horizon,DiMAS,Xtrfy M4 Black,"1,000",800,0.45,360,1,BenQ XL2411,144,GTX 1660,1920x1080,Logitech G640,,
ENTER FORCE 36,iNTRO,Logitech G Pro X Superlight,"1,000",400,0.377,150,1,BenQ XL2546K,240,RTX 2080,1920x1080,Zowie G-SR,Corsair K65,Sennheiser GSP 600
ENTER FORCE 36,10X,Logitech G Pro Wireless,"1,000","1,600",0.7,"1,120",1.2,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Artisan Hayate Otsu,Logitech G913 TKL,Logitech G Pro X
Zero Marksmen Black,Bjor,Logitech G303 Shroud Edition,"1,000",400,0.58,232,1,Alienware AW2518H,240,,1920x1080,Zowie G-SR-SE,,Massdrop x Sennheiser 6XX
Resonate,insky,FinalMouse Ultralight 2,"1,000",400,0.585,234,1,BenQ XL2546,240,GTX 1080,1366x768,SteelSeries QcK+,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless
Unicorns of Love,nico,Logitech G Pro Wireless,"1,000",400,0.404,161,1,Alienware AW2518H,240,RTX 2080 Super,1280x1024,Glorious 3XL,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
MAD Lions,Doma,Razer DeathAdder V3 Pro,"1,000",800,0.35,280,0.75,BenQ XL2546,240,RTX 2080 Super,1920x1080,Razer Gigantus V2,Razer BlackWidow,Fnatic REACT
NaVi,zeddy,Zowie FK2,"1,000",800,0.3,240,1,BenQ XL2430T,144,GTX 1060,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud I
NaVi,7ssk7,Logitech G Pro X Superlight White,"1,000",800,0.24,192,1,BenQ XL2546,240,RTX 2080 Ti,1600x900,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
NaVi,dinkzj,Zowie S2 Divina Edition,"1,000",800,0.41,328,0.8,BenQ XL2540,240,RTX 2070 Super,1920x1080,Zowie G-SR,Razer BlackWidow Chroma TE V2,
Maru Gaming,Jeong Hi,Logitech G Pro X Superlight,"1,000",800,0.395,316,1,,NA,,,SteelSeries QcK Heavy,Corsair K65,Sennheiser GSP 600
Kalafar Esports,Unity,Zowie EC2-B,"1,000",800,0.291,232,1,BenQ XL2546K,240,GTX 1060,1920x1080,Zowie G-SR-SE,HyperX Alloy FPS,HyperX Cloud II
World Game Star,iRdy,Zowie EC2,"1,000",400,0.48,192,1,,NA,,1920x1080,,Logitech G Pro X Mechanical Keyboard,Astro A50
World Game Star,HANN,Logitech G Pro X Superlight Magenta,"1,000",400,0.63,252,1,,NA,,1920x1080,VAXEE PA,Logitech G Pro X Mechanical Keyboard,Astro A50
World Game Star,Sylvan,Logitech G Pro X Superlight,"1,000",800,0.285,228,1,,NA,,1920x1080,Logitech G840,Logitech G Pro X Mechanical Keyboard,Astro A50
World Game Star,Luke,Logitech G Pro X Superlight,"1,000",400,0.5,200,1,,NA,,1920x1080,SteelSeries QcK+,Logitech G Pro X Mechanical Keyboard,Astro A50
World Game Star,GODLIKE,Logitech G Pro X Superlight,"1,000",400,0.69,276,1,,NA,,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Astro A50
World Game Star,Clark,Logitech G Pro X Superlight,"1,000",800,0.275,220,1,,NA,,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Astro A50
