Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
Liquid (S),EliGE,Logitech G Pro Wireless,"1,000","1,600",0.233,372,0.8,Alienware AW2518H,240,GTX 1080 Ti,1680x1050,Zowie G-SR,Massdrop ALT High Profile,Sennheiser PC37X
Liquid (S),Mendo,Logitech G Pro X Superlight,500,450,0.55,247,1,Alienware AW2521H,360,RTX 3080,1440x1080,Artisan Zero,Tofu 60% Zealios 67g Switches,beyerdynamic DT 1990 Pro
Liquid (S),frttt,Zowie EC2,"1,000","1,600",0.755,"1,208",1,BenQ XL2546K,240,RTX 3080 Ti,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud II
T1 (S),Brax,Logitech MX518,"1,000",400,0.55,220,1,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Sennheiser HD 600
T1 (S),Selly55,Logitech G Pro Wireless,"1,000",400,0.88,352,1,BenQ XL2546,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,Ducky One 2 Mini RGB White,Logitech G Pro X
NRG Esports (S),aceu,FinalMouse Starlight Pro,"1,000",800,0.51,408,1,BenQ XL2546,240,RTX 3090 Ti,1920x1080,Zowie G-SR-SE,Ducky One TKL White,Apple EarPods
NRG Esports (S),Ethos,Razer DeathAdder V3 Pro,"1,000",400,0.69,276,0.69,BenQ XL2546,240,RTX 3090,1920x1080,VAXEE PA,Custom Keyboard,HyperX Cloud II
NaVi (S),s1mple,Logitech G Pro X Superlight White,"1,000",400,0.974,389,0.974,BenQ XL2540,240,GTX 1080,1920x1080,HATOR INTBS,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Sentinels (S),Sinatraa,Logitech G Pro X Superlight Black,"1,000",800,0.387,309,1,"OMEN by HP 24.5""",240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,JBL Quantum ONE
EG (S),Stewie2k,Logitech G Pro X Superlight Black,"1,000",400,0.61,244,1.2,Alienware AW2521H,360,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Logitech G512,HyperX Cloud II
FaZe (S),Shanks,Zowie FK1,"1,000",400,0.6,240,1,BenQ XL2546,240,RTX 2060 Super,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
FA,BabyJ,Zowie EC2-A,"1,000",400,0.45,180,1,BenQ XL2546,240,RTX 3070,1920x1080,,,HyperX Cloud II
FA,Skadoodle,Logitech G Pro X Superlight Black,500,400,0.6,240,1,BenQ XL2546,240,RTX 2080,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FA,seb,Xtrfy M4 Blue,"1,000",400,0.383,153,0.9,BenQ XL2540K,240,RTX 2080 Super,1920x1080,Artisan Zero (XL/Soft),SteelSeries Apex Pro TKL,Sennheiser G4ME ONE
FA,AZK,Logitech G Pro Wireless,"1,000",400,0.628,251,1,BenQ XL2540,240,GTX 1080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FA,Zunba,Logitech G Pro X Superlight White,"1,000",800,0.25,200,1,BenQ XL2546K,240,RTX 2080 Ti,1920x1080,Xraypad Aqua Control,Logitech G913 TKL,Audeze LCD-GX
FA,Bunny,SteelSeries Prime Wireless,"1,000",800,0.38,304,1,BenQ XL2546K,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Mars Pro MK3,OC-G9 Mk2
FA,FiveK,Logitech G Pro X Superlight,"1,000",400,0.55,220,1,BenQ XL2546K,240,,1920x1080,Zowie G-SR,Mars Pro MK3,OC-G9 Mk2
FA,KRYPTIX,Pulsar Xlite V2 Wireless,"1,000",400,0.471,188,0.8,BenQ XL2540,240,RTX 3080,1920x1080,Razer Gigantus V2,Razer Huntsman TE,Razer BlackShark V2
FA,ec1s,VAXEE ZYGEN NP-01,"1,000",800,0.314,251,1,BenQ XL2546,240,RTX 3080,1920x1080,Zowie G-SR-SE Sweden Edition,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FA,b0i,Logitech G303 Shroud Edition,"1,000",800,0.66,528,1,BenQ XL2540,240,,1920x1080,VAXEE PA,Ducky One 2 RGB,HyperX Cloud II
FA,WARDELL,Logitech G Pro X Superlight Black,"1,000",800,0.326,260,1.15,BenQ XL2546,240,RTX 3090,1920x1080,Logitech G640,Logitech G Pro X Keyboard,Logitech G Pro X
FA,Huynh,Logitech G Pro Wireless,"1,000",800,0.314,251,1,BenQ XL2546,240,GTX 970,1920x1080,Zowie G-SR,HyperX Alloy FPS RGB,Logitech G Pro X
FA,rAx,Glorious Model O Matte Black,"1,000",400,0.629,251,1,BenQ XL2546,240,RTX 2080,1920x1080,Logitech G640,Ducky One PBT,Sennheiser G4ME ONE
FA,DPS,Zowie S2,"1,000",800,0.177,141,1,BenQ XL2540,240,,1366x768,Corsair MM350,,Turtle Beach Elite Pro
FA,kpiz,Zowie S1 Divina Edition,"1,000",800,0.26,208,1,BenQ XL2546,240,,1440x1080,Zowie G-SR-SE Divina Pink Edition,GK64,HyperX Cloud II
FA,neph,Zowie EC2-B Divina Edition,"1,000",400,0.6,240,1,BenQ XL2411,144,,1366x768,SteelSeries QcK Heavy,Ducky Shine 5 YOTG,HyperX Cloud II
FA,hype,Razer Viper Ultimate,"1,000",400,0.55,220,1,BenQ XL2540,240,,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
FA,leakeN,Zowie EC2,"1,000",400,0.53,212,1,BenQ XL2546,240,,1280x960,Zowie G-SR,Turtle Beach Impact 100,Logitech G Pro X
FA,Coffee,SteelSeries Rival 300,"1,000","1,600",0.24,384,1,BenQ XL2430T,144,GTX 1060,1920x1080,SteelSeries QcK+ NiP Edition,HyperX Alloy FPS,HyperX Cloud Revolver S
FA,Leviathan,Logitech G Pro X Superlight,"1,000",800,0.3,240,1,BenQ XL2740,240,RTX 3090,1920x1080,Artisan Hien FX Mid XL Black,Anne PRO 2,Logitech G Pro X Headset
FA,reltuC,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FA,Drone,Logitech G Pro X Superlight Black,"1,000",800,0.34,272,1,BenQ XL2540,240,GTX 1080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FA,Tenner,Razer Viper,"1,000",800,0.3,240,0.65,,NA,,1920x1080,,,
FA,BraveAF,Endgame Gear XM1r,"1,000",400,0.785,314,1,BenQ XL2546K,240,,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS Pro,Logitech G Pro X Headset
FA,davidp,Logitech G Pro Wireless,"1,000",400,0.58,232,1,AOC AG251FZ2E,240,RTX 2080,1440x900,Logitech G640,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
FA,cad,Xtrfy M4 Pink,"1,000",400,0.55,220,0.92,Alienware AW2518H,240,GTX 970,1920x1080,SteelSeries QcK Heavy,Motospeed GK82,GFallen Morcego
FA,ZerG,Logitech G903,"1,000",800,0.4,320,1,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,,AJAZZ AK33,
FA,Nurfed,Logitech G Pro Wireless,"1,000",400,0.59,236,1,BenQ XL2540,240,,1920x1080,Zowie G-SR,,
FA,Art1st,Zowie EC2-A,"1,000","1,600",0.141,225,1,BenQ XL2411,144,GTX 1060,1920x1080,Zowie G-SR,HyperX Alloy FPS,HyperX Cloud Alpha
FA,Relyks,Logitech G Pro Wireless,"1,000",400,0.79,316,1,BenQ XL2540,240,RTX 2080 Super,1920x1080,Artisan Zero (XL/Soft),HyperX Alloy FPS,HyperX Cloud II
FA,kaboose,Zowie EC2-A,"1,000",400,0.817,326,1,BenQ XL2540,240,,1600x900,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,HyperX Cloud Flight S
FA,k1Ng,Zowie EC2-B,"1,000",400,1,400,0.9,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,Zowie G-SR,Corsair K-70 RGB,HyperX Cloud II
FA,mummAy,Logitech G703,"1,000",400,0.515,206,0.9,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,PureTrak Talent,Corsair K95 RGB,Corsair Virtuoso
FA,Fuzari,Zowie ZA12,"1,000",800,0.745,596,1,AOC G2460PF,144,GTX 1050 Ti,1920x1080,Redragon Kunlun Control,Motospeed CK104,Razer Kraken TE
FA,gtn,Razer Viper,"1,000",400,0.58,232,1,AOC G2460PF,144,GTX 1650,1680x1050,VAXEE PA Winter 21,Razer BlackWidow Chroma TE V2,HyperX Cloud Stinger
FA,DeNaro,Razer Viper,"1,000",400,0.52,208,1,Acer Predator XB252Q,240,GTX 1050 Ti,1920x1080,Razer Gigantus,HyperX Alloy FPS,Redragon SCYLLA
FA,ZachaREEE,FinalMouse Starlight 12,"1,000",800,0.5,400,1,ASUS ROG Swift PG258Q,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Varmilo VA87M Sakura Pink,Sennheiser G4ME ONE
FA,Re1ease,Razer Viper,"1,000",400,0.6,240,1,Alienware AW2518H,240,RTX 2070 Super,1920x1080,SteelSeries QcK+,CM Storm Quickfire,Sony MDR-1000X
FA,fxy0,Xtrfy M4 White,"1,000",400,0.942,376,1,BenQ XL2546,240,GTX 1080,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,HyperX Cloud II
FA,shinobi,Zowie EC2-B Divina Edition,"1,000",400,0.65,260,1,BenQ XL2546,240,RTX 2080 Super,1024x768,SteelSeries QcK Heavy,Corsair K65,HyperX Cloud II
FA,arch,Xtrfy M4 Retro,"1,000",400,0.58,232,1,BenQ XL2546,240,GTX 1070,1920x1080,Xtrfy XTP1 f0rest Edition,Xtrfy K2-RGB White Edition,HyperX Cloud Alpha PE
FA,Ultimate,Zowie ZA11,"1,000",400,0.7,280,1,BenQ XL2411,144,,1920x1080,Zowie G-SR,Corsair K-70 RGB,HyperX Cloud Flight
FA,Sunday,Logitech G Pro Wireless,"1,000",400,0.597,238,0.88,BenQ XL2546,240,RTX 2080 Ti,1920x1080,,,
FA,governor,Logitech G Pro X Superlight Black,"1,000","1,200",0.45,540,1,BenQ XL2740,240,RTX 3070 Ti,1920x1080,SteelSeries QcK+,Ducky One 3 Mini,Beyerdynamic DT 990 Pro
FA,Moothie,Zowie S1,"1,000",400,0.425,170,0.764,BenQ XL2546,240,RTX 2070 Super,1920x1080,Artisan Zero (XL/Soft),Filco Majestouch2 TKL,
FA,HyP,Xtrfy M4 White,"1,000",800,0.45,360,1,,NA,RTX 2080 Ti,1920x1080,,,
FA,CREA,Zowie EC2-B Divina Edition,"1,000",800,0.345,276,1,BenQ XL2546,240,,1920x1080,Zowie G-SR,Corsair STRAFE,HyperX Cloud Alpha
FA,KOLER,Logitech G Pro Wireless,"1,000",400,0.758,303,1,BenQ XL2546,240,,1920x1080,Zowie G-SR,Corsair K63 RGB,Sennheiser GAME ZERO
FA,ROK3T,Logitech G Pro Wireless,"1,000",800,0.3,240,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
FA,Yacine,Logitech G Pro Wireless,"1,000",800,0.4,320,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,QPAD FX-50,Xtrfy XG1-R LED,HyperX Cloud Alpha
FA,bonkar,Razer Viper,"1,000",800,0.384,307,1,ASUS ROG Swift PG258Q,240,GTX 1080,1680x1050,Xtrfy XTP1 Volcano Edition,Xtrfy XG1-R LED,HyperX Cloud Alpha
FA,ohai,Razer Orochi V2,"1,000",400,0.47,188,1,Alienware AW2518H,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Ducky One 2 Mini RGB,ASTRO A40
FA,rara,Logitech G703,"1,000",800,0.355,284,1,ASUS ROG Swift PG258Q,240,RTX 2080,1280x960,Logitech G640,HyperX Alloy FPS Pro,HyperX Cloud II
FA,Rawkus,Logitech G903,"1,000",800,0.4,320,1,"OMEN by HP 24.5""",240,RTX 2080,1920x1080,ROCCAT TAITO,Razer BlackWidow Chroma V2,Turtle Beach Elite Pro 2
FA,DXN,Razer Viper Ultimate,"1,000",400,0.62,248,0.82,BenQ XL2546S,240,,1600x900,Cooler Master MP510,Ducky One 2 Mini RGB,Sennheiser PC37X
FA,Venerated,Logitech G Pro Wireless,"1,000",800,0.28,224,1,Alienware AW2518H,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Corsair K65,Sennheiser HD 598
FA,Efina,Zowie EC2,"1,000",400,0.45,180,0.92,BenQ XL2546S,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex M500,
FA,DaZeD,Logitech G Pro Wireless,"1,000",400,0.55,220,1,BenQ XL2540,240,GTX 1080,1920x1080,HyperX FURY S Pro X-Large,Razer BlackWidow TE,Sennheiser HD 600
FA,jonba,Zowie FK1+,"1,000",400,0.6,240,1,BenQ XL2540,240,GTX 1070,1920x1080,Zowie G-SR-SE,HyperX Alloy FPS Pro,HyperX Cloud Alpha
FA,Yurii,Logitech G Pro Wireless,"1,000",400,0.55,220,1,,NA,RTX 2080 Super,,,,
FA,WeDid,Logitech G703,"1,000","1,600",0.18,288,1,Acer XB240H,240,RTX 2080,1920x1080,,Razer BlackWidow Chroma V2,Logitech G432
FA,Kongared,Zowie EC2-B,"1,000",400,0.39,156,1,BenQ XL2546,240,GTX 1070,1920x1080,Razer Gigantus,Razer BlackWidow Chroma TE V2,HyperX Cloud II
FA,wannafly,Zowie FK1+,"1,000",800,0.35,280,1,BenQ XL2546,240,RTX 2070 Super,1920x1080,Zowie G-SR,Zowie Celeritas II,Beyerdynamic MMX300
FA,Acetis,Zowie FK2,"1,000",800,0.65,520,1,BenQ XL2546,240,GTX 1070 Ti,1920x1080,,,
FA,d3ffo,Zowie FK1,"1,000",800,0.51,408,1,BenQ XL2546,240,GTX 970,1280x960,VAXEE PA,Logitech G Pro Mechanical Keyboard,Sennheiser GAME ZERO
FA,Sunset,FinalMouse Ultralight 2,500,800,0.5,400,1,BenQ XL2420Z,144,RTX 2080 Super,1920x1080,Logitech G440,Vortex Pok3r White,Sennheiser GSP 370
Free Agent,nAts,Zowie S2,"1,000",800,0.49,392,1,BenQ XL2546K,240,RTX 2060 Super,1280x960,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud Alpha S
FA,MkaeL,Razer DeathAdder V2 Pro,"1,000",800,0.3,240,1,,NA,GTX 1080 Ti,1920x1080,,Ducky One 2 Mini RGB,Logitech G Pro X
FA,patochovsk,Razer DeathAdder V2,"1,000",400,0.6,240,1,AOC AG251FZ,240,GTX 1660 Ti,1920x1080,HyperX FURY S Pro,Razer BlackWidow Chroma TE V2,GFallen Morcego
FA,FLG1,Glorious Model D Matte Black,"1,000",400,0.57,228,1,AOC AG251FZ,240,RTX 2060,1440x1080,Zowie G-SR,HyperX Alloy Origins Core,GFallen Morcego
FA,GTFAFMX,Razer DeathAdder Elite,"1,000",800,0.9,720,1,AOC AG251FZ,240,GTX 1080 Ti,1920x1080,Artisan Hayate Otsu,Corsair K70 Rapidfire,Sennheiser PC 363D
FA,murii,G-Wolves Hati Black,"1,000",600,0.1,60,1,ASUS ROG Strix XG248Q,240,RTX 2070 Super,1798x1080,Glorious 3XL,Ducky MIYA Pro Sakura,Logitech G430
FA,Zik,Razer Viper Mini,"1,000",400,0.628,251,1,BenQ XL2546,240,,1600x1024,Razer Gigantus V2,Razer BlackWidow V3 Pro,Razer BlackShark V2 Pro
FA,ShoT_UP,Logitech G502 Proteus Spectrum,"1,000",850,0.311,264,1,BenQ XL2411,144,,1920x1080,SteelSeries QcK Heavy,Razer BlackWidow Ultimate,HyperX Cloud II
FA,Anaks,Razer Viper Ultimate,"1,000",400,0.295,118,1.01,,NA,GTX 1080 Ti,1920x1080,Zowie G-SR,Logitech G Pro Mechanical Keyboard,
FA,Ladiff,Logitech G Pro X Superlight Black,"1,000",800,0.5,400,1,BenQ XL2411,144,RTX 2070 Super,1440x1080,HyperX FURY S Pro SE X-Large,CM MasterKeys Pro L,HyperX Cloud Alpha S
FA,Kehmicals,Logitech G Pro X Superlight Black,"1,000",800,0.38,304,1,BenQ XL2546S,240,GTX 1070,1920x1080,HyperX FURY S Pro X-Large,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
FA,RUBINO,VAXEE ZYGEN NP-01,"1,000",400,0.62,248,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Artisan FX Zero XSoft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Wireless Headset
FA,Poiz,Logitech G Pro X Superlight,"1,000",800,0.45,360,1,BenQ XL2546,240,,1920x1080,HyperX FURY S Pro,,
FA,pAura,Zowie S2,"1,000",400,0.55,220,1,BenQ XL2546,240,RTX 2060 Super,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS Pro,Logitech G Pro X Wireless Headset
FA,sutecas,Razer Viper Ultimate,"1,000",800,0.4,320,0.8,BenQ XL2546,240,RTX 2070,1920x1080,VAXEE PA Winter 21,Corsair K70 RGB MK.2,HyperX Cloud Alpha
FA,Shawn,Logitech G305,"1,000","1,200",0.4,480,1,BenQ XL2540K,240,RTX 3070 Ti,1920x1080,Zowie G-SR,Razer Huntsman Mini,Corsair VOID
FA,NaturE,Logitech G Pro X Superlight Black,"1,000",800,0.508,406,0.68,,NA,,1920x1080,HyperX FURY S Pro,Logitech G815,HyperX Cloud II
FA,Ex6TenZ,Zowie FK2,"1,000",400,0.691,276,1,AOC AG251FZ,240,GTX 1080 Ti,1440x1080,Logitech G640,Logitech G Pro Mechanical Keyboard,Logitech G Pro Gaming Headset
FA,Seoldam,Logitech G Pro X Superlight Black,"1,000",800,0.485,388,1,BenQ XL2546,240,,1920x1080,Xraypad Aqua Control+,Deck Francium 87 Pro,Corsair VOID Pro Wireless
FA,Magnum,Logitech G Pro Wireless,"1,000",400,0.5,200,1.227,Samsung C24RG50,144,RTX 2060,1280x1024,SteelSeries QcK+,Fnatic MiniSTREAK,Logitech G Pro Gaming Headset
FA,jammyz,FinalMouse Ultralight 2,"1,000",800,0.34,272,1.15,Alienware AW2518H,240,RTX 3060,,Zowie G-SR,Corsair K70 TKL,HyperX Cloud II
FA,Allow,Logitech G Pro Wireless,"1,000",800,0.234,187,1,BenQ XL2546,240,GTX 1080,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
Streamer,shroud,Logitech G303 Shroud Edition,"1,000",400,0.8,320,1,Alienware AW2721D,240,RTX 3090,2560x1440,Logitech G840 SE,Logitech G Pro X Keyboard SE,Logitech G Pro X Wireless Headset SE
Streamer,summit1g,FinalMouse Air58 Ninja CBR Edition,500,400,0.415,166,1,Samsung Odyssey G7,240,RTX 2080 Ti,1920x1080,Corsair MM500,Corsair K70 RGB MK.2,Audio Technica ATH-AD700X
Streamer,n0thing,Logitech G100s Custom,"1,000",400,0.645,258,1,Alienware AW2521H,240,RTX 3090,1920x1080,Logitech G440,Logitech G Pro X MK SE,Logitech G Pro X Wireless Headset SE
Streamer,ONSCREEN,Logitech G Pro Wireless,"1,000",400,1,400,1,BenQ XL2740,240,RTX 2080 Ti,1920x1080,,Logitech G Pro X Mechanical Keyboard,Beyerdynamic DT 1990 Pro
Streamer,dizzy,FinalMouse Starlight 12,500,800,0.35,280,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,SteelSeries Apex Pro TKL,Apple EarPods
Streamer,Hiko,FinalMouse Starlight 12,"1,000","1,600",0.36,576,1,Alienware AW2521H,360,RTX 3090,1920x1080,Zowie G-SR-SE,Razer BlackWidow TE,JBL Quantum ONE
Streamer,Myth,Logitech G703,"1,000",700,0.225,157,0.554,ASUS ROG Swift PG258Q,240,RTX 3090,1920x1080,Logitech G840,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
Streamer,Ninja,Logitech G Pro X Superlight Black,"1,000",400,0.55,220,0.7,Alienware AW2518H,240,RTX 3070,1920x1080,HyperX FURY S Pro SE X-Large,SteelSeries Apex Pro TKL,Beyerdynamic DT 1990 Pro
Streamer,Kephrii,ASUS ROG Gladius,"2,000",400,0.5,200,0.65,ASUS ROG Swift PG258Q,240,RTX 2080 Ti,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Turtle Beach Elite Atlas Aero
Streamer,MuMiNo,Zowie EC2-B,"1,000",400,1,400,0.81,AOC AGON AG241QG,165,GTX 1080 Ti,2560x1440,Zowie G-SR-SE,HyperX Alloy Elite,HyperX Cloud II
Streamer,Sadovnik,Logitech G Pro Wireless,"1,000",400,0.8,320,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,HyperX FURY S Speed Edition,Razer Huntsman TE,HyperX Cloud II
Streamer,PLAYER1,Logitech G Pro Wireless,"1,000",800,0.4,320,1,BenQ XL2411,144,,1920x1080,SteelSeries QcK+,,
Streamer,Kyedae,FinalMouse Starlight 12,"1,000",800,0.44,352,1,BenQ XL2540,240,RTX 3080,1920x1080,HyperX FURY S Pro,Custom Keyboard,Xtrfy H2
Streamer,N1KOLA,Xtrfy M4 Black,"1,000",800,0.37,296,1,BenQ XL2546,240,,1920x1080,Logitech G640,Ducky One 2 Mini RGB,Sennheiser CX 3.00
Streamer,JASONR,Zowie EC3-C,"1,000",800,0.32,256,1,BenQ XL2540,240,RTX 3080,1920x1080,Razer Gigantus V2,Logitech G915,Razer Adaro
Streamer,Morgausse,FinalMouse Ultralight 2,500,800,0.25,200,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Zowie G-SR,SteelSeries Apex Pro TKL,Sennheiser HD 599 SE
Streamer,benjyfishy,Razer Viper V2 Pro,"1,000",800,0.283,226,1,OMEN X25f,360,RTX 3090,1280x960,Gamesense Radar XL,SteelSeries Apex Pro TKL,Turtle Beach Atlas Aero
Streamer,ErycTriceps,Logitech G303 Shroud Edition,"1,000",400,0.314,125,1,BenQ XL2540,240,RTX 2080 Ti,1920x1080,Artisan Ninja FX,SteelSeries Apex Pro TKL,Sennheiser HD 660 S
Streamer,Recrent,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,Alienware AW2721D,240,RTX 3090,1920x1080,Artisan Hien FX Soft,Razer Huntsman V2 TKL,
Streamer,iiTzTimmy,Logitech G Pro X Superlight,"1,000","1,800",0.19,342,1,BenQ XL2740,240,RTX 3080 Ti,1920x1080,Logitech G840 SE,Wooting 60 HE,Logitech G Pro X Wireless Headset SE
Streamer,n0ted,FinalMouse Ultralight 2,500,800,0.471,376,1,BenQ XL2546,240,,1920x1080,The Mousepad Company,SteelSeries Apex Pro,
Streamer,Horcus,Razer Viper Ultimate,"1,000",800,0.315,252,1,BenQ XL2546,240,RTX 2060,1920x1080,Aorus AMP500,Razer Huntsman Elite,HyperX Cloud II
